year,quarter,sold_price_ind,date,mspus,msptfc,constr_price_ind,cpi,ffr,fmr_1,sold_corrected,constr_corrected,sold_corrected_cash,constr_corrected_cash,fmr_corrected,real_ffr
2014,1,106.76,2014-01-01,275200,322600,109.9,235.288,0.07,509.3514285714286,2577.7444735856125,2504.0946314831663,3021.7309853877855,2935.395814376706,4.634680878720915,2.9750773520111523e-4
2014,2,112.73,2014-04-01,288000,310200,109.8,236.468,0.09,509.3514285714286,2554.7769005588575,2622.9508196721313,2751.707619976936,2825.136612021858,4.638901899557638,3.806011807094406e-4
2014,3,112.06,2014-07-01,281000,285800,111.3,237.498,0.09,509.3514285714286,2507.5852222023914,2524.7079964061095,2550.419418168838,2567.834681042228,4.576383006032602,3.7895055958365965e-4
2014,4,114.42,2014-10-01,298900,296300,111.5,237.43,0.09,509.3514285714286,2612.3055409893377,2680.7174887892374,2589.5822408669815,2657.3991031390133,4.568174247277386,3.790590911005349e-4
2015,1,110.96,2015-01-01,289200,294600,113.2,234.747,0.11,516.846264367816,2606.344628695025,2554.7703180212015,2655.010814708003,2602.4734982332157,4.565779720563746,4.6858958793935594e-4
2015,2,110.75,2015-04-01,289100,310300,113.8,236.222,0.12,516.846264367816,2610.3837471783295,2540.4217926186293,2801.805869074492,2726.7135325131812,4.541707068258489,5.079967149545766e-4
2015,3,112.79,2015-07-01,295800,339900,114.1,238.034,0.13,516.846264367816,2622.572923131483,2592.4627519719547,3013.565032361025,2978.9658194566173,4.529765682452376,5.461404673281968e-4
2015,4,116.9,2015-10-01,302500,335000,114.4,237.733,0.12,516.846264367816,2587.6817792985457,2644.230769230769,2865.6971770744226,2928.321678321678,4.517886926292098,5.047679539651625e-4
2016,1,119.01,2016-01-01,299800,332700,114.9,237.652,0.34,539.7725321888412,2519.1160406688514,2609.225413402959,2795.5633980337784,2895.5613577023496,4.697759200947268,0.0014306633228418025
2016,2,118.97,2016-04-01,306000,323600,117.3,238.992,0.37,539.7725321888412,2572.0769942002185,2608.695652173913,2720.0134487685973,2758.738277919864,4.601641365633769,0.0015481689763674098
2016,3,122.43,2016-07-01,303800,293100,119.8,240.101,0.39,539.7725321888412,2481.417953116066,2535.8931552587646,2394.0210732663563,2446.5776293823037,4.50561379122572,0.0016243164335009018
2016,4,123.74,2016-10-01,310900,352200,123.4,241.741,0.4,539.7725321888412,2512.5262647486666,2519.448946515397,2846.2906093421693,2854.132901134522,4.3741696287588425,0.001654663462135095
2017,1,124.67,2017-01-01,313100,376700,124.5,243.618,0.65,562.7224606580829,2511.4301756637524,2514.859437751004,3021.5769631828025,3025.70281124498,4.51985912175167,0.002668111551691583
2017,2,126.38,2017-04-01,318200,348000,124.9,244.193,0.9,562.7224606580829,2517.803449912961,2547.638110488391,2753.600253204621,2786.228983186549,4.50538399245863,0.003685609333600881
2017,3,128.42,2017-07-01,320500,320900,126.2,244.243,1.15,562.7224606580829,2495.717178009656,2539.619651347068,2498.831957638997,2542.7892234548335,4.458973539287503,0.004708425625299394
2017,4,127.8,2017-10-01,337900,344400,126.9,246.626,1.15,562.7224606580829,2643.9749608763696,2662.7265563435776,2694.8356807511736,2713.947990543735,4.434377152545965,0.004662930915637443
2018,1,129.83,2018-01-01,331800,328400,127.7,248.859,1.41,578.3849431818181,2555.6496957559884,2598.2772122161314,2529.4616036355233,2571.652310101801,4.529247793123086,0.005665858980386483
2018,2,130.95,2018-04-01,315600,302000,129.5,250.227,1.69,578.3849431818181,2410.08018327606,2437.065637065637,2306.2237495227187,2332.046332046332,4.466292997542997,0.006753867488320605
